sim_id,final_balance,total_return_pct,total_trades,win_rate,max_drawdown_pct,sharpe_ratio
1864,11576608.226972697,1157560.8226972697,1300,0.5807692307692308,11.978435860125051,14.980899868378911
1865,8450767.424150407,844976.7424150406,1281,0.5768930523028883,12.732601393373233,14.571587493513569
1866,15632530.97960712,1563153.097960712,1299,0.5873749037721324,9.093189414166353,15.493011256843227
1867,4950320.800579051,494932.080057905,1265,0.5675889328063242,14.157895782526941,13.772622782219692
1868,8879276.745904371,887827.6745904372,1280,0.578125,14.465553659528666,14.660847505160453
1869,37513574.25261752,3751257.425261752,1340,0.5992537313432836,9.547895527284085,16.695408895180513
1870,39781076.7444828,3978007.67444828,1262,0.6141045958795562,8.307572054464842,17.393910487424538
1871,5227481.828646741,522648.1828646741,1261,0.5693893735130848,10.771441144486543,13.886863345725269
1872,13907320.552931724,1390632.0552931724,1226,0.5970636215334421,10.322885840960923,15.798826698594715
1873,5965015.83716123,596401.583716123,1325,0.5630188679245283,14.035568797817783,13.74297343192291
1874,13691172.247806044,1369017.2247806045,1314,0.5821917808219178,13.16910355824514,15.17308024957613
1875,12535141.798784638,1253414.1798784637,1281,0.585480093676815,10.771441144486554,15.237248598800235
1876,36011735.714470394,3601073.5714470395,1343,0.5979151154132539,11.661832097404135,16.604860564444984
1877,10899223.496704217,1089822.3496704218,1236,0.5898058252427184,8.307572054464849,15.299844376359793
1878,66373004.88229178,6637200.488229178,1306,0.6171516079632465,9.676608450129141,17.947435487321844
1879,20823918.855511237,2082291.8855511239,1299,0.5935334872979214,17.180289285171042,15.980653096447547
1880,3426947.1617850596,342594.716178506,1242,0.5628019323671497,14.772108891503832,13.28942193002263
1881,13748950.076674381,1374795.0076674381,1240,0.5943548387096774,11.217752822509583,15.677418866455964
1882,11153116.829934305,1115211.6829934304,1308,0.5787461773700305,13.726364313158573,14.868793726890923
1883,12286966.843648482,1228596.6843648483,1343,0.5755770662695457,14.343665094412755,14.816347543656107
1884,11601009.610929372,1160000.9610929373,1263,0.5866983372921615,10.000327249209631,15.22428049717146
1885,5257342.711810539,525634.2711810538,1229,0.5744507729861676,10.898412967624207,14.08880590118738
1886,32176585.454821214,3217558.5454821214,1296,0.6033950617283951,7.846630788847111,16.75254525996493
1887,52919736.88999292,5291873.688999292,1320,0.6098484848484849,11.217752822509624,17.436445028308686
1888,8199800.015299293,819880.0015299293,1249,0.5812650120096077,10.771441144486541,14.722042039241632
1889,25708728.755724512,2570772.875572451,1273,0.6025137470542027,9.676608450129143,16.532681140929938
1890,13170755.683381239,1316975.5683381238,1280,0.58671875,14.343665094412774,15.327992513665293
1891,3192053.254975397,319105.3254975397,1213,0.5655399835119538,11.344089546210782,13.335126010210615
1892,11378390.024215637,1137739.0024215635,1246,0.5890850722311396,10.898412967624207,15.305809802092245
1893,10270345.212839317,1026934.5212839317,1293,0.5792730085073473,10.577924482847644,14.824188968893052
1894,14088418.718425859,1408741.871842586,1254,0.5925039872408293,13.603422386120878,15.620989589603179
1895,19975407.322898652,1997440.7322898651,1281,0.5956284153005464,11.535948164190271,16.035375861628168
1896,24225351.41006884,2422435.141006884,1330,0.5917293233082707,11.535948164190241,16.02515934596753
1897,2561644.8955850382,256064.48955850382,1266,0.5529225908372828,13.29266351894944,12.679141801004755
1898,6490988.572691095,648998.8572691096,1253,0.5754189944134078,12.732601393373264,14.299267434428938
1899,11776846.72367822,1177584.672367822,1254,0.5885167464114832,10.322885840960925,15.310769752408474
1900,10599123.511672597,1059812.3511672597,1267,0.5840568271507498,9.54789552728411,15.043443484881763
1901,11049351.053462379,1104835.1053462378,1285,0.5821011673151751,13.726364313158514,14.997666073858351
1902,10132034.533646315,1013103.4533646316,1344,0.5714285714285714,9.351725270582829,14.49607143332289
1903,3217445.2746778945,321644.5274677895,1244,0.5610932475884244,10.450495956203703,13.172957975550279
1904,18674289.4844425,1867328.9484442498,1307,0.5899005355776588,10.322885840960911,15.740660875913536
1905,33689030.14043816,3368803.014043816,1340,0.5970149253731343,9.547895527284103,16.51307295901549
1906,11346030.272612937,1134503.0272612937,1262,0.5863708399366085,9.54789552728412,15.1928503958172
1907,13514358.387044255,1351335.8387044254,1236,0.5946601941747572,10.450495956203756,15.675852191858645
1908,16063215.110533452,1606221.5110533452,1247,0.5966319165998396,8.896033002245652,15.899716545890158
1909,18580882.692014188,1857988.2692014189,1310,0.5893129770992367,11.535948164190229,15.71205974469738
1910,4893948.715112957,489294.87151129567,1279,0.565285379202502,9.547895527284098,13.673810622223263
1911,5800069.030069743,579906.9030069744,1256,0.572452229299363,11.978435860125046,14.091010970728503
1912,9781963.25171543,978096.3251715429,1315,0.5749049429657794,15.50233833668065,14.608745305303426
1913,6042323.456253213,604132.3456253213,1303,0.5663852647735994,18.30059151201055,13.885689851393876
1914,18171386.93221267,1817038.693221267,1259,0.5972994440031771,13.603422386120862,16.0286283677004
1915,7201972.771801777,720097.2771801777,1248,0.5785256410256411,12.856782494622557,14.506952536901146
1916,13631978.741112527,1363097.8741112526,1288,0.5861801242236024,11.217752822509592,15.333617509682707
1917,28876463.714680392,2887546.371468039,1325,0.5962264150943396,11.97843586012505,16.356693641757907
1918,22115430.986523032,2211443.098652303,1263,0.6009501187648456,10.00032724920966,16.343214655921045
1919,10160313.837783867,1015931.3837783867,1278,0.581377151799687,9.093189414166337,14.900657861591421
1920,11642737.15042575,1164173.715042575,1268,0.5859621451104101,11.978435860125044,15.197166643811924
1921,5434035.514650483,543303.5514650482,1295,0.5652509652509653,10.771441144486547,13.756448958871198
1922,15266257.853313211,1526525.7853313212,1256,0.5939490445859873,9.093189414166357,15.746455201554452
1923,44297219.89864991,4429621.989864991,1262,0.6164817749603804,11.535948164190238,17.58773733603563
1924,13181339.271519635,1318033.9271519636,1351,0.5758697261287935,11.978435860125058,14.883525432883518
1925,25820362.57181123,2581936.257181123,1299,0.5981524249422633,9.093189414166373,16.349613251696
1926,2945955.635227855,294495.5635227855,1261,0.5567010309278351,10.322885840960941,12.934785514100525
1927,17990058.905245386,1798905.8905245387,1265,0.5960474308300395,9.22254938168984,15.96794755611699
1928,5295230.881633561,529423.0881633561,1239,0.5730427764326069,11.787536898368177,14.03980686954663
1929,14813787.865914222,1481278.7865914223,1274,0.5902668759811617,10.771441144486516,15.569384135069821
1930,27580075.724209603,2757907.5724209603,1281,0.6026541764246682,12.856782494622578,16.595817215587115
1931,5730113.458936531,572911.3458936531,1299,0.5658198614318707,14.035568797817813,13.821136723143505
1932,12715693.739921745,1271469.3739921744,1251,0.5907274180655475,14.465553659528627,15.463991683099128
1933,16040357.230341285,1603935.7230341285,1255,0.595219123505976,9.222549381689836,15.839696680315217
1934,8821754.97119249,882075.4971192491,1241,0.5842062852538276,14.70881069599527,14.899744197662875
1935,8840887.372227743,883988.7372227744,1254,0.5821371610845295,9.093189414166368,14.818420291943788
1936,9879958.058665624,987895.8058665625,1259,0.5837966640190627,11.978435860125062,14.975800241966907
1937,8288599.956449508,828759.9956449507,1264,0.5791139240506329,12.732601393373258,14.6447906436193
1938,13245990.836660065,1324499.0836660066,1248,0.5921474358974359,11.2177528225096,15.555818888277066
